osmid,y,x,street_count,highway,ref,geometry
211327581,4600472.560957176,549447.2253734141,3,,,POINT (549447.2253734141 4600472.560957176)
211334527,4600466.323584173,549447.5600834668,3,motorway_junction,,POINT (549447.5600834668 4600466.323584173)
211327588,4600523.9758886425,549414.6812586063,3,crossing,,POINT (549414.6812586063 4600523.9758886425)
1300547751,4600521.867720569,549390.594049519,3,,,POINT (549390.594049519 4600521.867720569)
211327592,4600519.646734738,549353.2725285428,3,,,POINT (549353.2725285428 4600519.646734738)
241942007,4600626.260722378,549347.7634396156,3,,,POINT (549347.7634396156 4600626.260722378)
211376184,4600138.322819266,549507.917375763,3,,,POINT (549507.917375763 4600138.322819266)
211384249,4600330.0718204,549460.4298333563,3,,,POINT (549460.4298333563 4600330.0718204)
211334531,4600288.719775867,549456.3352995964,3,,,POINT (549456.3352995964 4600288.719775867)
253987634,4600284.918217487,549454.0679127255,3,,,POINT (549454.0679127255 4600284.918217487)
211338605,4600938.116203361,549410.0386754274,3,,,POINT (549410.0386754274 4600938.116203361)
213268311,4600851.915530697,549418.1437797984,3,motorway_junction,,POINT (549418.1437797984 4600851.915530697)
211342668,4600369.23208918,549478.4085488762,3,,,POINT (549478.4085488762 4600369.23208918)
5121877236,4600529.3114729775,549459.2785742186,3,,,POINT (549459.2785742186 4600529.3114729775)
211342676,4600939.294843421,549421.6220715848,3,motorway_junction,,POINT (549421.6220715848 4600939.294843421)
215738886,4601290.62475565,549401.9664242945,3,,,POINT (549401.9664242945 4601290.62475565)
512540235,4601074.504093829,549421.8366528677,3,crossing,,POINT (549421.8366528677 4601074.504093829)
211374355,4599785.135563192,549599.6133726254,3,motorway_junction,,POINT (549599.6133726254 4599785.135563192)
232375149,4599878.684306587,549578.3768067007,3,,,POINT (549578.3768067007 4599878.684306587)
232376495,4599768.795158725,549624.1803797132,4,,,POINT (549624.1803797132 4599768.795158725)
211374357,4600141.457271995,549518.1208236798,3,motorway_junction,,POINT (549518.1208236798 4600141.457271995)
4643306970,4600617.485363886,549447.5064213403,3,,,POINT (549447.5064213403 4600617.485363886)
1235091606,4600207.739687757,549510.017371625,3,,,POINT (549510.017371625 4600207.739687757)
1457880225,4599918.127984513,549558.4470804551,3,,,POINT (549558.4470804551 4599918.127984513)
211383595,4600251.680850149,549406.0909454158,3,,,POINT (549406.0909454158 4600251.680850149)
211406339,4600207.173545525,549336.8819537929,3,,,POINT (549336.8819537929 4600207.173545525)
211383600,4600075.525323325,549103.8412495139,3,,,POINT (549103.8412495139 4600075.525323325)
224600866,4600043.035898501,549047.9580173327,4,,,POINT (549047.9580173327 4600043.035898501)
218641632,4600176.642359729,549062.3023263457,3,,,POINT (549062.3023263457 4600176.642359729)
211386928,4600230.764679362,549407.8773865361,3,,,POINT (549407.8773865361 4600230.764679362)
211387923,4600216.743702769,549484.134739297,3,,,POINT (549484.134739297 4600216.743702769)
4740795637,4600257.569765402,549468.2251491194,3,,,POINT (549468.2251491194 4600257.569765402)
211398113,4600603.426737596,550059.4872678968,3,,,POINT (550059.4872678968 4600603.426737596)
254113008,4600682.132591833,550228.4241625838,3,,,POINT (550228.4241625838 4600682.132591833)
4634040526,4600808.660385899,550438.4277936191,3,,,POINT (550438.4277936191 4600808.660385899)
211398673,4600295.176021071,549531.483905276,3,,,POINT (549531.483905276 4600295.176021071)
253421139,4600367.88558806,549644.1642023355,4,,,POINT (549644.1642023355 4600367.88558806)
211399766,4600325.634305416,549541.724373443,3,,,POINT (549541.724373443 4600325.634305416)
2180098431,4600303.232146183,549498.5441459053,3,,,POINT (549498.5441459053 4600303.232146183)
211399776,4600611.527342933,550052.475747075,3,,,POINT (550052.475747075 4600611.527342933)
242140555,4600378.810306541,549639.2934946194,4,,,POINT (549639.2934946194 4600378.810306541)
211406718,4600197.531195396,549342.594210103,3,,,POINT (549342.594210103 4600197.531195396)
2298996352,4600224.60820155,549379.5301756301,3,,,POINT (549379.5301756301 4600224.60820155)
211418008,4601085.117706043,549420.1460435151,3,,,POINT (549420.1460435151 4601085.117706043)
1571062596,4601092.074203974,549424.292831375,3,,,POINT (549424.292831375 4601092.074203974)
211418009,4601107.812009495,549423.4593284099,3,,,POINT (549423.4593284099 4601107.812009495)
215735667,4601114.262848763,549418.6368129771,3,,,POINT (549418.6368129771 4601114.262848763)
211418016,4601112.785030045,549389.3353871915,3,,,POINT (549389.3353871915 4601112.785030045)
4643353477,4601109.526459698,549386.9144088313,3,,,POINT (549386.9144088313 4601109.526459698)
211420558,4601074.13247784,549390.3259721143,3,crossing,,POINT (549390.3259721143 4601074.13247784)
211423646,4601096.281703307,549349.7632078021,4,,,POINT (549349.7632078021 4601096.281703307)
211430818,4601090.010054079,549309.4369931291,4,,,POINT (549309.4369931291 4601090.010054079)
253987334,4601094.057302748,549373.4946110474,3,crossing,,POINT (549373.4946110474 4601094.057302748)
211425615,4601199.879152002,549339.8721549035,3,,,POINT (549339.8721549035 4601199.879152002)
211427482,4601261.727731398,549334.403405274,3,,,POINT (549334.403405274 4601261.727731398)
211425616,4601276.025837294,549332.4792513191,3,,,POINT (549332.4792513191 4601276.025837294)
211440422,4601346.074655969,549306.8831307988,1,,,POINT (549306.8831307988 4601346.074655969)
7636778280,4601277.709639867,549304.3659542161,3,,,POINT (549304.3659542161 4601277.709639867)
7636780891,4601255.8411653815,549291.9323942654,3,,,POINT (549291.9323942654 4601255.8411653815)
211429233,4601195.758791913,549299.1565369035,3,,,POINT (549299.1565369035 4601195.758791913)
218636706,4601054.841190211,549311.6791721209,2,,,POINT (549311.6791721209 4601054.841190211)
1571144855,4601066.412794364,549196.812986939,3,,,POINT (549196.812986939 4601066.412794364)
211435739,4601048.863059239,549159.9324538222,3,,,POINT (549159.9324538222 4601048.863059239)
1571139836,4601047.465970761,549153.6960317133,3,,,POINT (549153.6960317133 4601047.465970761)
211438244,4601287.859150598,549169.8418466507,1,,,POINT (549169.8418466507 4601287.859150598)
211438246,4601253.188623603,549253.1333023702,3,,,POINT (549253.1333023702 4601253.188623603)
213265749,4601000.9631205695,549178.9724118615,3,,,POINT (549178.9724118615 4601000.9631205695)
241939684,4600964.2444854295,549180.265550855,3,,,POINT (549180.265550855 4600964.2444854295)
253986940,4601023.047478255,549177.5290422222,3,,,POINT (549177.5290422222 4601023.047478255)
213265757,4600877.10819825,549183.0871753213,3,,,POINT (549183.0871753213 4600877.10819825)
253480823,4600879.256588064,549274.8627463683,1,,,POINT (549274.8627463683 4600879.256588064)
213266831,4600827.311753124,549184.5363690638,4,,,POINT (549184.5363690638 4600827.311753124)
213266828,4600833.436139841,549396.4299047282,3,,,POINT (549396.4299047282 4600833.436139841)
218636265,4600832.894154347,549382.156708656,4,,,POINT (549382.156708656 4600832.894154347)
213268614,4600817.304731817,549420.8080151123,3,,,POINT (549420.8080151123 4600817.304731817)
1134479214,4600853.690986082,548998.7653926826,3,crossing,,POINT (548998.7653926826 4600853.690986082)
3156297081,4600828.52836926,549253.7110524831,3,,,POINT (549253.7110524831 4600828.52836926)
3156297088,4600798.957963403,549186.4979453078,3,,,POINT (549186.4979453078 4600798.957963403)
229141294,4600535.155473626,549443.6933098718,3,,,POINT (549443.6933098718 4600535.155473626)
213270941,4600887.696419603,548789.1606809912,3,,,POINT (548789.1606809912 4600887.696419603)
253986660,4600900.671127416,548775.4214741345,3,,,POINT (548775.4214741345 4600900.671127416)
213270954,4600851.030718147,548749.0886437824,3,,,POINT (548749.0886437824 4600851.030718147)
253986655,4600847.647490546,548770.8603999733,3,,,POINT (548770.8603999733 4600847.647490546)
213270963,4600891.311815313,548741.0104647693,3,,,POINT (548741.0104647693 4600891.311815313)
1755018162,4600886.183574279,548737.9012779891,3,,,POINT (548737.9012779891 4600886.183574279)
213271936,4600834.651244387,548846.9444626826,4,,,POINT (548846.9444626826 4600834.651244387)
213682109,4600731.971634972,548949.5736291873,4,,,POINT (548949.5736291873 4600731.971634972)
4116337683,4600818.368536685,548819.8186752715,1,,,POINT (548819.8186752715 4600818.368536685)
1763921777,4600861.592687753,548942.7551018568,3,,,POINT (548942.7551018568 4600861.592687753)
253473631,4600858.298273641,548822.1582013953,4,,,POINT (548822.1582013953 4600858.298273641)
213274270,4600850.175879784,548694.939137268,3,crossing,,POINT (548694.939137268 4600850.175879784)
213274272,4600837.814241706,548646.6381321944,3,,,POINT (548646.6381321944 4600837.814241706)
213279105,4600837.872646752,548591.1480827613,3,,,POINT (548591.1480827613 4600837.872646752)
3928494738,4600863.40478631,548575.7650063207,3,,,POINT (548575.7650063207 4600863.40478631)
213279111,4600814.500248749,548577.7710575167,3,,,POINT (548577.7710575167 4600814.500248749)
213279114,4600810.213587823,548562.7975274789,3,,,POINT (548562.7975274789 4600810.213587823)
213281819,4600801.036452368,548573.3753079493,3,crossing,,POINT (548573.3753079493 4600801.036452368)
9646463654,4600813.219086226,548575.478046459,3,,,POINT (548575.478046459 4600813.219086226)
343675936,4600494.139718227,548618.0024941763,4,,,POINT (548618.0024941763 4600494.139718227)
213281832,4600175.35242244,548606.710020248,5,,,POINT (548606.710020248 4600175.35242244)
2057080323,4600169.132482534,548583.2997230357,3,,,POINT (548583.2997230357 4600169.132482534)
